TransactionID,day_idx,TransactionAmt,ProductCD,P_emaildomain,DeviceInfo,card1,uid,uid_total_frauds,card1_total_frauds,C1,C13,D2,score_B,score_A
3430672,130,400.0,H,gmail.com,SAMSUNG SM-J327T1 Build/NRD90M,7815,7815_123_130,0,38,7.0,1.0,,0.9834871731085124,0.9968755451004692
3398614,120,34.319,C,hotmail.com,,16136,16136_nan_120,2,48,24.0,2.0,,0.9696767248982254,0.9897774493127832
3398080,120,12.446,C,hotmail.com,,13832,13832_nan_119,0,160,22.0,2.0,,0.9769016581545075,0.989723835602445
3398074,120,12.446,C,hotmail.com,,4504,4504_nan_119,0,201,22.0,2.0,,0.9747989668476296,0.989605374336456
3398085,120,12.446,C,hotmail.com,,3154,3154_nan_92,3,231,22.0,2.0,,0.9791572649455287,0.9895754233854291
3398072,120,12.446,C,hotmail.com,,3154,3154_nan_92,3,231,22.0,2.0,,0.9809064959051094,0.9886145719189046
3398117,120,8.58,C,hotmail.com,,4461,4461_nan_120,0,158,23.0,2.0,,0.9837153238238128,0.9881809029187878
3435627,132,16.969,C,hotmail.com,,6141,6141_nan_44,1,3,37.0,2.0,,0.9557706724140361,0.9878681326694814
3432567,131,16.969,C,hotmail.com,,4606,4606_nan_131,1,12,30.0,2.0,,0.9681128194838329,0.9872387581862969
3432577,131,16.969,C,hotmail.com,,6141,6141_nan_131,0,3,36.0,2.0,,0.9607729696386224,0.9871097827847859
3408537,123,9.003,C,hotmail.com,,4504,4504_nan_119,0,201,24.0,2.0,,0.9747973618597228,0.9866398087684032
3398099,120,12.446,C,hotmail.com,,2256,2256_nan_119,0,211,22.0,2.0,,0.9819617946152087,0.9866009278351096
3454052,139,8.669,C,hotmail.com,,17782,17782_nan_139,0,11,38.0,2.0,,0.9725372657357396,0.986596700439857
3432562,131,16.969,C,hotmail.com,,3887,3887_nan_131,0,32,28.0,2.0,,0.950328517101044,0.9864781784668404
3435624,132,16.969,C,hotmail.com,,11767,11767_nan_131,0,0,37.0,2.0,,0.9551531520125753,0.9855712432507854
