day_idx,coverage
1,0.19250292854353768
2,0.22654155495978553
3,0.2761493366244986
4,0.24975222993062438
5,0.2969223007063572
6,0.32553134248049503
7,0.3623877443211833
8,0.3508377094273568
9,0.3839262861530586
10,0.4110304789550073
11,0.4172262097707803
12,0.41474543707973105
13,0.41788190294047334
14,0.4217273954116059
15,0.4408025427095749
16,0.46635838150289016
17,0.48383705650459924
18,0.5006266786034019
19,0.5204487875497648
20,0.5411375891459385
21,0.541483177734719
22,0.5566258026853473
23,0.5568801089918256
24,0.6265457543281121
25,0.7241379310344828
26,0.43898207056101796
27,0.3698744769874477
28,0.3427370948379352
29,0.2775453277545328
30,0.27884900622960546
31,0.2676056338028169
32,0.2375366568914956
33,0.2259770790478989
34,0.16158536585365854
35,0.20052219321148826
36,0.2212265471856623
37,0.20396039603960395
38,0.20479559748427673
39,0.1925754060324826
40,0.1719286204529856
41,0.17319378798109386
42,0.10725442554668518
43,0.16084303937881309
44,0.16475233309404164
45,0.1865217391304348
46,0.16403445800430724
47,0.14978121844496803
48,0.13128674069235793
49,0.15722240419259745
50,0.1711630695443645
51,0.18577494692144372
52,0.1937419631375911
53,0.1468363136176066
54,0.1701215153681201
55,0.17466618549260196
56,0.20652563642882754
57,0.17287721441661577
58,0.1835136143230138
59,0.22231473771856786
60,0.17257844474761255
61,0.17357762777242045
62,0.18580307491004253
63,0.15446540880503146
64,0.1762798239518184
65,0.1748208164537239
66,0.17879256965944273
67,0.17033819422897922
68,0.14914502849905004
69,0.16293929712460065
70,0.22210779265362168
71,0.21640648913376187
72,0.19059766763848396
73,0.22743055555555555
74,0.19955156950672645
75,0.21938441388343158
76,0.2662037037037037
77,0.21190951430472388
78,0.22646873025900188
79,0.20200892857142858
80,0.20916515426497279
81,0.1830247991617185
82,0.17845117845117844
83,0.1687116564417178
84,0.18895522388059702
85,0.19390039171796306
86,0.19428786170612553
87,0.18673989799921537
88,0.13869579609400862
89,0.1633601983880967
90,0.1550849985087981
91,0.1679560768654854
92,0.10412667946257198
93,0.1206896551724138
94,0.16308427157966565
95,0.13096200485044462
96,0.1541782300339192
97,0.16731141199226304
98,0.16666666666666666
99,0.17903665555892154
100,0.14613368283093053
101,0.1752
102,0.17277321541377133
103,0.17542728152208964
104,0.17495987158908508
105,0.2079762689518787
106,0.23036324122943186
107,0.2381630473478106
108,0.2125054656755575
109,0.1923198984449381
110,0.16500994035785288
111,0.16886792452830188
112,0.222015503875969
113,0.23303377750232415
114,0.2425670775924583
115,0.24055262088581877
116,0.22790099646415943
117,0.26528599605522685
118,0.255426234664989
119,0.2693939393939394
120,0.18345597564070032
121,0.18760357971494862
122,0.22177901874750697
123,0.15663716814159293
124,0.13374583531651593
125,0.15690798961638305
126,0.18977384464110128
127,0.17901049475262368
128,0.17550857598723574
129,0.20059625212947188
130,0.16458852867830423
131,0.18072289156626506
132,0.16787790697674418
133,0.1935243766282099
134,0.195097037793667
135,0.18773157678056812
136,0.2255859375
137,0.1602608098833219
138,0.18236120871398454
139,0.1668472372697725
140,0.20197793837961203
141,0.18633333333333332
142,0.15725637808448348
143,0.18604651162790697
144,0.1434878587196468
145,0.15967016491754124
146,0.17692307692307693
147,0.18543046357615894
148,0.20718954248366014
149,0.1402359108781127
150,0.1706654594839294
