day_idx,lab_card1_fraud_rate,lab_addr1_fraud_rate,lab_P_emaildomain_fraud_rate,lab_DeviceInfo_fraud_rate,lab_uid_fraud_rate
120,0.03218832,0.024237039,0.036192775,0.06885991,0.023777561
121,0.03160178,0.024462711,0.036693353,0.06876457,0.026223442
122,0.031686716,0.02409495,0.035488866,0.0729014,0.014680043
123,0.030815221,0.02392287,0.035938174,0.078909025,0.015518974
124,0.026926173,0.023829715,0.03562324,0.062288504,0.013624769
125,0.02995304,0.024759356,0.035569422,0.0645321,0.02260397
126,0.03255397,0.02422901,0.036229964,0.06747662,0.010679034
127,0.030482017,0.024877662,0.036570907,0.06857949,0.019807493
128,0.031548284,0.02505989,0.036504894,0.069372885,0.02036997
129,0.0368271,0.024248766,0.037580065,0.13953128,0.02380535
130,0.02810469,0.024588974,0.035737213,0.064005435,0.01998431
131,0.032138746,0.024174538,0.035559215,0.06579795,0.020723768
132,0.03212528,0.02398158,0.03602042,0.06456689,0.031270042
133,0.032334726,0.024767049,0.03652668,0.06723405,0.039870173
134,0.032709222,0.02414261,0.036330227,0.07573336,0.018486014
135,0.031637166,0.024733828,0.036590878,0.081797525,0.021769151
136,0.033102836,0.023993777,0.03593486,0.07479982,0.02224286
137,0.03063976,0.02420137,0.036064208,0.06241582,0.018585294
138,0.031208938,0.02460194,0.03591291,0.070927374,0.019165156
139,0.03182859,0.0244215,0.036121912,0.06932545,0.017539673
140,0.034661572,0.024430135,0.036525562,0.06563845,0.014349215
141,0.03349626,0.024453327,0.036604654,0.062118307,0.02516746
142,0.030212302,0.024436872,0.036204994,0.07622659,0.02715549
143,0.03193106,0.024470374,0.036549658,0.0717934,0.023411708
144,0.029923927,0.024455903,0.03544181,0.054322805,0.02393995
145,0.03024963,0.024154427,0.035332788,0.05753819,0.017487189
146,0.030946404,0.02432104,0.03511507,0.05664612,0.010773244
147,0.032951042,0.024748737,0.036048885,0.06258037,0.025345111
